"n_starts","no_cohort_ari","if_cohort_ari","noco_ari_ci_lower","noco_ari_ci_upper","ifco_ari_ci_lower","ifco_ari_ci_upper","no_cohort_bic","if_cohort_bic","half_noco_time","half_ifco_time"
1,0.804507910648563,0.934028971167234,0.8,0.8,0.93,0.93,26951384.3193803,26475940.0753811,1.58951569795609,56.0927240848541
2,0.86030643072899,0.942755217600358,0.86,0.86,0.94,0.94,26787721.4115818,26488443.7805813,56.9639489650726,1.43093113501867
3,0.85908098576007,0.950125016585548,0.86,0.86,0.95,0.95,26845441.1603813,26491073.568581,1.35751080115636,1.36328551769257
4,0.919471210222452,0.927158929087325,0.92,0.92,0.93,0.93,26670288.9741809,26529503.6923809,1.58561845223109,2.36084666649501
5,0.902842059580292,0.950625563500695,0.9,0.9,0.95,0.95,26728987.0001805,26487189.1535808,1.57593686580658,2.05484408537547
6,0.92952581796494,0.838208325116917,0.93,0.93,0.84,0.84,26677092.8883815,26600734.7217813,1.58343935012817,2.16101801792781
7,0.833402557651471,0.954947263707057,0.83,0.83,0.95,0.96,26782650.567181,26499258.2753806,3.67966678142548,1.97213545242945
8,0.972774892221567,0.85183090891526,0.97,0.97,0.85,0.85,26595644.7795807,26596586.2585805,1.75954039891561,2.42107745011648
9,0.904403070561019,0.864462920300865,0.9,0.9,0.86,0.86,26748281.9059808,26630298.1423812,2.29725808302561,2.60225463310878
10,0.909767830927319,0.93664777585476,0.91,0.91,0.94,0.94,26677642.8409806,26535894.1055811,2.53587428331375,2.91259169975917
11,0.936128645496342,0.936635609562626,0.94,0.94,0.94,0.94,26677722.5961806,26635529.4509812,2.3020764986674,2.65589956839879
12,0.919509885513359,0.951116179320835,0.92,0.92,0.95,0.95,26671330.397981,26490532.6259811,3.72797103325526,2.86382478475571
13,0.942013275558305,0.987176835960115,0.94,0.94,0.99,0.99,26685082.9751818,26401052.4945812,2.49693456888199,2.46747920115789
14,0.941758222689086,0.987376437172784,0.94,0.94,0.99,0.99,26688745.7495807,26403694.7395811,2.45965056816737,2.77995779911677
15,0.941708635646186,0.933269993492053,0.94,0.94,0.93,0.93,26688423.7087813,26476624.709581,2.99994461933772,3.3225405494372
16,0.919371053161467,0.987422850308393,0.92,0.92,0.99,0.99,26670309.9267812,26404813.8861812,3.27231941620509,3.07867840131124
17,0.900022238262043,0.98667897862777,0.9,0.9,0.99,0.99,26727155.9567814,26405897.0181806,3.63203431367874,3.34431553284327
18,0.919401136190647,0.932964110893002,0.92,0.92,0.93,0.93,26670330.479981,26480820.0841813,3.89569981892904,3.93545540173848
19,0.972805369087016,0.986673248435992,0.97,0.97,0.99,0.99,26595642.5939811,26404587.6127808,3.23367311954498,3.78124736944834
20,0.936274855568103,0.987009700720607,0.94,0.94,0.99,0.99,26677718.8981804,26404485.7747809,3.64560433228811,3.53848083416621
